iter	Passed	Remaining
818	169576	37476
819	169760	37264
820	169981	37060
821	170174	36850
822	170423	36652
823	170626	36444
824	170835	36237
825	171076	36037
826	171259	35825
827	171473	35620
828	171668	35410
829	171872	35202
830	172110	35002
831	172320	34795
832	172533	34589
833	172728	34379
834	172931	34172
835	173145	33966
836	173352	33759
837	173577	33555
838	173784	33348
839	173967	33136
840	174203	32935
841	174390	32724
842	174587	32515
843	174806	32310
844	175001	32100
845	175196	31891
846	175424	31688
847	175612	31477
848	175869	31279
849	176079	31072
850	176271	30862
851	176464	30653
852	176655	30443
853	176881	30239
854	177074	30030
855	177271	29821
856	177481	29614
857	177669	29404
858	177891	29199
859	178087	28990
860	178275	28780
861	178495	28575
862	178690	28366
863	178932	28165
864	179117	27954
865	179306	27744
866	179530	27540
867	179721	27330
868	179938	27125
869	180125	26915
870	180317	26706
871	180535	26500
872	180770	26297
873	181008	26095
874	181206	25886
875	181398	25677
876	181622	25472
877	181815	25263
878	182014	25055
879	182267	24854
880	182440	24642
881	182712	24444
882	182904	24235
883	183113	24028
884	183368	23827
885	183552	23617
886	183774	23412
887	183948	23200
888	184213	23000
889	184403	22791
890	184592	22582
891	184817	22377
892	185004	22167
893	185187	21957
894	185416	21752
895	185599	21542
896	185796	21334
897	186023	21129
898	186219	20921
899	186477	20719
900	186659	20509
901	186848	20300
902	187111	20099
903	187291	19889
904	187515	19683
905	187705	19474
906	187901	19266
907	188135	19062
908	188379	18858
909	188607	18653
910	188802	18444
911	188991	18236
912	189219	18030
913	189400	17821
914	189628	17615
915	189817	17406
916	190020	17199
917	190346	17002
918	190621	16801
919	190928	16602
920	191228	16402
921	191415	16193
922	191606	15984
923	191840	15779
924	192029	15569
925	192225	15361
926	192432	15153
927	192627	14945
928	192838	14737
929	193022	14528
930	193223	14320
931	193541	14121
932	193744	13913
933	193945	13704
934	194140	13496
935	194355	13289
936	194576	13082
937	194768	12873
938	194979	12666
939	195170	12457
940	195379	12250
941	195562	12041
942	195751	11832
943	195953	11624
944	196149	11416
945	196337	11207
946	196560	11000
947	196746	10792
948	196963	10584
949	197151	10376
950	197341	10167
951	197554	9960
952	197755	9752
953	197953	9544
954	198233	9340
955	198412	9131
956	198638	8925
957	198829	8716
958	199017	8508
959	199252	8302
960	199429	8093
961	199628	7885
962	199839	7678
963	200035	7470
964	200275	7263
965	200459	7055
966	200669	6848
967	200897	6641
968	201100	6433
969	201330	6226
970	201532	6018
971	201759	5812
972	201979	5604
973	202184	5397
974	202408	5189
975	202594	4981
976	202799	4774
977	202997	4566
978	203200	4358
979	203438	4151
980	203629	3943
981	203825	3736
982	204028	3528
983	204215	3320
984	204468	3113
985	204647	2905
986	204834	2697
987	205076	2490
988	205275	2283
989	205506	2075
990	205683	1867
991	205870	1660
992	206123	1453
993	206405	1245
994	206599	1038
995	206793	830
996	207083	623
997	207387	415
998	207659	207
999	207942	0
